woman;age;education;work;metropolitan_area;non_white;urban;work_permit;poverty
1;40;2;1;2;2;1;2;2
1;35;5;8;2;2;1;1;1
1;53;2;1;2;1;1;2;1
1;45;4;3;2;2;2;3;2
2;54;5;8;2;2;2;3;1
1;27;7;9;2;2;2;1;1
1;42;5;2;2;2;2;2;2
1;46;2;1;2;1;2;3;2
2;45;5;10;3;2;2;3;1
1;25;5;10;3;2;2;1;1
2;23;5;10;3;2;2;3;1
1;39;3;2;3;2;2;3;1
2;29;5;4;3;2;2;2;1
1;31;5;4;3;2;2;1;1
2;49;7;9;3;2;2;3;1
1;37;7;5;3;2;2;3;1
2;53;7;9;3;2;2;3;1
1;62;2;8;3;2;2;3;1
1;37;5;4;3;2;2;2;2
2;40;5;11;3;2;2;1;1
1;59;3;5;3;2;2;3;1
2;23;7;4;3;2;2;3;2
2;49;4;8;3;2;2;3;1
1;51;5;8;3;2;2;3;1
1;22;5;4;3;2;2;2;1
1;35;5;4;3;2;2;2;1
1;27;5;7;3;2;2;2;2
1;31;5;7;3;2;2;2;1
2;30;5;7;3;2;2;2;1
2;50;7;8;3;2;2;3;1
1;44;7;9;3;2;2;3;1
1;50;7;8;3;1;2;3;1
1;27;5;4;3;2;2;2;1
2;43;2;4;3;2;2;2;1
1;42;7;8;3;2;2;3;1
2;36;7;9;3;1;2;3;1
1;22;4;7;3;2;2;2;1
1;38;7;8;3;2;2;3;1
2;40;5;4;3;1;2;2;2
1;19;5;9;3;2;2;2;2
1;23;3;4;3;2;2;2;1
2;18;3;9;3;2;2;1;1
2;41;5;4;3;2;2;2;1
2;19;5;4;3;2;2;2;1
1;52;2;8;3;2;2;3;1
2;51;5;9;3;2;2;3;1
2;35;5;4;3;2;2;1;2
1;19;3;4;3;2;2;1;2
1;29;5;7;3;2;2;2;1
2;42;2;7;3;2;2;2;2
2;25;7;9;3;1;2;3;1
2;40;7;9;3;2;2;3;1
1;38;3;3;3;2;2;3;2
1;38;4;3;3;2;2;3;1
1;23;3;4;3;2;2;2;2
1;42;7;8;3;2;2;3;1
2;42;7;9;3;2;2;3;1
2;39;7;8;3;2;2;3;1
1;19;5;7;3;2;2;2;1
1;27;7;7;3;2;2;1;1
1;21;6;7;3;2;2;2;1
2;33;7;4;3;2;2;2;1
2;32;7;4;3;2;2;2;1
2;36;2;11;3;2;2;1;2
1;47;5;4;3;2;2;3;1
2;42;3;4;3;2;2;3;2
2;40;2;7;3;2;2;2;2
2;45;2;7;3;2;2;2;2
1;35;5;2;3;2;2;3;1
2;40;5;7;3;2;2;2;1
2;26;7;9;3;1;2;1;2
2;49;3;4;3;2;2;3;2
2;35;5;4;3;2;2;2;1
1;39;2;7;3;2;2;1;1
1;18;5;4;3;2;2;2;1
1;47;2;4;3;2;2;3;1
2;45;6;2;3;2;2;3;1
1;40;7;9;3;2;2;3;1
1;51;2;1;2;2;2;3;2
1;45;2;1;2;2;2;3;2
1;50;2;1;2;2;2;3;2
1;26;2;1;2;2;2;3;2
1;43;2;1;2;2;2;3;2
1;55;7;10;3;2;2;3;1
1;36;5;9;3;2;2;2;1
2;47;3;4;3;2;2;3;2
1;24;7;2;3;2;2;2;1
1;41;3;4;3;2;2;3;1
1;21;5;4;3;2;2;2;1
2;47;5;9;3;2;2;2;1
1;44;5;3;3;2;2;3;1
1;24;6;5;3;1;2;3;1
1;40;3;1;2;2;1;3;2
1;30;5;5;3;2;2;2;1
1;49;2;3;3;2;2;3;1
1;22;5;2;3;2;2;2;1
2;37;7;2;3;2;2;2;1
1;39;5;4;3;2;2;2;1
2;39;5;6;3;2;2;3;1
1;33;4;4;3;2;2;3;1
2;32;5;7;3;2;2;3;1
1;33;3;5;3;2;2;1;2
2;33;5;10;3;2;2;3;2
1;21;5;2;3;1;2;2;1
2;38;5;4;3;1;2;1;2
1;54;7;2;3;1;2;2;1
2;47;1;8;3;2;2;1;1
1;55;2;5;3;2;2;3;1
1;41;5;8;3;2;2;3;2
2;30;5;1;3;2;2;3;2
2;46;2;9;3;2;2;2;1
2;40;2;6;3;2;2;1;2
1;44;2;10;3;2;2;1;2
1;22;5;9;3;2;2;1;2
2;37;5;5;3;2;2;1;1
1;37;5;5;3;2;2;1;1
1;64;2;4;3;2;2;2;1
1;51;3;2;3;2;2;2;1
2;21;3;11;3;2;2;1;2
2;56;2;11;3;2;2;2;2
1;52;2;1;3;2;2;3;2
1;26;4;1;2;2;1;3;2
1;46;2;1;2;2;1;3;2
1;39;3;1;2;2;1;3;1
1;43;2;1;2;2;1;3;2
1;59;2;1;2;2;1;3;2
1;63;2;1;2;2;1;3;2
1;27;5;1;2;2;1;3;2
1;48;2;1;2;2;1;3;2
1;52;2;1;2;2;1;3;2
1;64;5;4;3;1;2;3;1
2;33;7;7;3;2;2;3;1
1;45;7;2;3;2;2;2;1
1;30;7;7;3;2;2;1;1
2;54;5;7;3;2;2;3;1
2;52;5;11;3;2;2;1;1
1;57;7;9;3;2;2;3;1
2;30;7;4;3;2;2;2;2
2;46;5;10;3;2;2;3;1
1;25;5;9;3;2;2;3;1
1;33;7;2;3;2;2;2;1
2;34;5;2;3;1;2;2;1
2;44;5;7;3;2;2;2;1
2;32;2;7;3;2;2;2;2
1;18;3;10;3;2;2;1;2
1;26;5;4;3;2;2;2;2
2;26;5;2;3;2;2;2;2
2;51;7;9;3;1;2;1;1
2;29;5;9;3;2;2;1;2
1;33;2;5;3;2;2;3;2
2;54;7;9;3;2;2;3;1
1;15;3;4;3;2;2;2;1
2;48;7;8;3;1;2;3;1
1;44;7;4;3;1;2;2;1
